"idAbstract","Title","fullAbstract","classification","attentionTest","taskCode"
"0","An investigation of software engineering curricula","We adapted a survey instrument developed by Timothy Lethbridge to assess the extent to which the education delivered by four UK universities matches the requirements of the software industry. We propose a survey methodology that we believe addresses the research question more appropriately than the one used by Lethbridge. In particular, we suggest that restricting the scope of the survey to address the question of whether the curricula for a specific university addressed the needs of its own students, allowed us to identify an appropriate target population. However, our own survey suffered from several problems. In particular the questions used in the survey are not ideal, and the response rate was poor.\n\nAlthough the poor response rate reduces the value of our results, our survey appears to confirm several of Lethbridge's observations with respect to the over-emphasis of mathematical topics and the under-emphasis on business topics. We also have a close agreement with respect to the relative importance of different software engineering topics. However the set of topics, that we found were taught far less than their importance would suggest, were quite different from the topics identified by Lethbridge.","Included","Neither agree nor disagree","AEM135136"
"1","What makes a great software engineer","Good software engineers are essential to the creation of good software. However, today, we lack a holistic, contextual, and real-world understanding of software engineering expertise. In this dissertation, we address this gap by investigating the thesis: “Experts involved in the creation of software view software engineering expertise as holistically encompassing internal personality attributes, attributes regarding engagement with others, in addition to technical capabilities in designing and writing code. Furthermore, the ability to make good decisions (e.g. choosing what software to write and how to write), which has not yet been articulated by previous research studies, is also critically important. The key aspects of being a great software engineer are: writing good code, adjusting behaviors to account for future values and costs, practicing informed decision-making, avoiding making others’ jobs harder, and learning continuously.” We interview 59 expert Microsoft software engineers to inductively understand what software engineering expertise entailed. We survey 1,926 more expert Microsoft software engineers to understand the relative importance of the 45 attributes of expertise derived from interviews, as well as to understand the influence of context on ratings. Finally, we interview 46 expert non-software-engineers who have collaborated with software engineers to understand their perspectives. We collectively consider all our data to answer the question: what makes a great software engineer?","Excluded","Strongly Agree","EME135136"
"2","Assessing student learning in software engineering","Program assessment plays a key role in measuring student learning and improving the program. Assessing programs is an iterative and incremental process that consists of a series of activities conducted by stakeholders such as faculty members, students and alumni. These activities include defining learning outcomes, developing assessment methods and rubrics, conducting assessment, analyzing assessment results, and recommending actions for change. Over two years, we, as the software engineering group in the Computer Science Department, assessed four student learning outcomes relating software engineering. In this paper, we describe our assessment activities for two learning outcomes: 1) Demonstrate an understanding of the principles and practices for software design and development; 2) Be able to apply the principles and practices for software design and development to real world problems.","Excluded","Somewhat Agree","HAG5374"
"3","Formal Competence-based Assessment: on closing the Gap between Academia and Industry","For many years, we have observed industry great efforts in defining higher workplace productivity. Mostly, these efforts are exploring the field with highlighting industrial expectations and issues. However, until the appropriate selection of the competent candidates, this remains far from being realistic. From this standpoint and recognizing the inadequacy of current traditional knowledge-based assessment systems in higher education to achieve performance visibility, we think we need to rethink how we design new assessment models that can respond to the corporate requirements of the 21st century and mirror the learners' competences. This concern has not been sufficiently investigated and only a minority provided some efforts to grant the fundamental models to assess Learners based on the standard required competences. Thus, the main output of this work is a semantic model and a framework specification for competence-based assessment to support the formal and informal learning competences visibility.","Excluded","Strongly Agree","LEE135913"
"4","A survey of the relevance of computer science and software engineering education","We describe a study of 168 software professionals to determine how relevant their education has been to their careers. Starting with a list of 57 topics, we asked the participants to indicate how much they learned in university, how much they know now, how useful the material has been and whether they would like to learn more. We conclude from the results that certain software engineering topics should be given more emphasis, while the emphasis on certain mathematics topics should be changed.","Included","Somewhat disagree","AEM135912"
"5","An Evaluation of Relevance of Computing curricula to Industry Needs","The research documented in this paper attempted to answer the question of how relevant the content of the Computing courses offered within programs of the Computing Department at the National University of Samoa (NUS) were to meet the needs of industry and the workforce. The RINCCII study which was conducted in 2013 to 2014, surveyed 13 institutions and 19 graduates from the Computing programs. Findings from the survey indicated that the current course offerings within the Computing department are relevant to the needs of industry and the workplace. However there are aspects or topics which need inclusion or better coverage. The study also recommended regular surveys to gauge relevance of curricula to needs of industry","Included","Strongly disagree","EOA13952"
"6","Analyzing the importance of teaching about testing from alumni survey data","The Department of Computer Science (IDI) at the Norwegian University of Science and Technology (NTNU), conducted a survey among its master alumni in 2007 and 2011, with the scope to retrieve the educational topics relevant to their field of expertise based on the work experience accumulated after graduation. The results enabled the identification of topics which proved mandatory to learn after graduation, and the two sets of data registered four years apart, provided us with an overview of the trends and a certain shift in the importance of the most favored topics. The data available from this two surveys was analyzed from the perspective of software testing topic and the results of this analysis are presented in this paper. ","Included","Neither agree nor disagree","LAL396193"
"7","Desired Skills for Entry Level IS Positions: Identification and Assessment","The present study sheds light on what employers believe to be important hard skills and soft skills for entry-level information systems (IS) positions. Results from a survey of N = 73 U.S.-based and international employers suggest that soft skills are significantly more important than hard skills for entry-level IS positions. The most important hard skills are Microsoft Office, database/data warehouse/SQL, and knowledge of security, while the most important soft skills are willingness to learn, critical thinking, and attitude. Employer characteristics (e.g., industry, size, location) do not affect the importance of hard skills and soft skills. Findings of this study are discussed in light of previous research. Results of this study can help to guide universities in IS curriculum development.","Included","Strongly Agree","JAJ13613"
"8","Employers' needs for computer science, information technology and software engineering skills among new graduates","Graduates of computer science programs often lack skills that employers desire among software developers. These include, for example, weaknesses in the areas of collaboration, communication, and software testing. Further research can help to refine this list by providing insight into additional skills that are of rising or regional importance. This paper therefore presents a study aimed at uncovering desirable technical and soft skills for graduates of computer science in the Pacific Northwest region of the United States. Interviews of 11 employers, including both managers and recruiters, highlighted the prominent importance of skills related to web development, relational databases, and testing. Additionally, it spotlighted not only widely-recognized soft skills such as those related to collaboration and communication, but additionally on skills tied to personal attributes such as innovating, coping with ambiguity and learning quickly. The results provide insights for what skills and personal attributes to include in a future survey of employers aimed at quantifying the importance of skills on this list.  ","Included","Somewhat Agree","EAM135913"
"9","Evaluating the gap between the skills and abilities of senior undergraduate computer science students and the expectations of industry","A large emphasis is placed on improving student education. Every year researchers propose new teaching methods and suggest improvements to existing methods. However, recent computer science and software engineering graduates continue to face difficulties when beginning their professional careers. This thesis reports the results of a systematic literature review that examined the knowledge deficiency among graduating students beginning work in the software industry. Following the literature review, interviews with industry managers and surveys of graduating students were undertaken to examine additional knowledge deficiencies among graduating students. The results from the literature review and the additional studies show that students lack proficiency with software development tools, knowledge of software testing, and teamwork and communication skills. The results of this research can be used by both educators and industry managers to identify potential areas of improvement for students and new hires.","Included","Neither agree nor disagree","UEU135813"
"10","Identifying technical competences of IT Professionals: the case of software engineers","This article aims to identify technical competency levels relevant to Software Engineering in a spectrum of professional profiles which are found in Spain's main Software Development companies. The research work presents a combination of three initiatives. The first step constitutes a review of the literature related to the characterization of the labor force in the Software Engineering domain. The subsequent step consists of a qualitative study of the practices of a set of organizations, and lastly, this was followed by a quantitative analysis based on investigative surveys administered to a number of representative professionals. The professional career is established from seven consecutive profiles. The pyramidal model for professional careers, identifying one single professional track going from Junior Programmer to IT Director, is still present in the organisations subject to this study. Technical excellence is reached in a determined professional profile, in this case ""D"". From this point onwards, other competencies which are not uniquely characteristic of Software Engineering gain importance, and stimulate professional development towards higher levels.","Included","Strongly Agree","UEL135821"
